ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
4715,Office Max #6073,2201,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only
4716,Office Max #6075,4080,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
4717,Office Max #6083,7900,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only
4718,Office Max #6115,655,Clairton Blvd,Pittsburgh,PA,15236,Pleasant Hills,Chain Packaged Food Only
4719,Oh My Grill - ZCA 5335,150,Community Park Road,Evans City,PA,16033,Out Of County,Mobile
4720,Ohio Valley General Hospital,25,Heckel Rd,Mc Kees Rocks,PA,15136,Kennedy,Hospital/Other Institution
4721,Ohio Valley General Hospital Gift Shop,25,Heckel Rd,Mc Kees Rocks,PA,15136,Kennedy,Restaurant without Liquor
4722,Oil &amp; Vinegar,301,South Hills Village,Pittsburgh,PA,15241,Upper St Clair,Chain Packaged Food Only
4723,Oishii Bento,119,Oakland  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
4724,Ola Appetit Catering Company,917,Duquesne  Boulevard,Duquesne,PA,15110,Duquesne,Restaurant without Liquor
4725,Old Allegheny Shops,4755,Clairton Boulevard,Pittsburgh,PA,15236,Whitehall,Packaged Food Only
4726,Old Fashioned Shaved Ice,807,Parkway Ave,Pittsburgh,PA,15235,Penn Hills,Mobile
4727,Old Mexico Mexican Restaurant ,3075,Clairton Blvd / Century III Mall,West Mifflin,PA,15123,West Mifflin,Chain Restaurant with Liquor
4728,Old Navy #3390,180,Quinn Drive,Pittsburgh,PA,15275,North Fayette,Chain Packaged Food Only
4729,Old Navy #5529,4120,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
4730,Old Navy #6437,560,E Waterfront Drive,Homestead,PA,15120,Homestead,Chain Packaged Food Only
4731,Old Navy #7196,8900,Covenant  Avenue,Pittsburgh,PA,15237,McCandless,Chain Packaged Food Only
4732,Old Patton Township Social Club,1513,Maple Avenue,Turtle Creek,PA,15145,Turtle Creek,Restaurant with Liquor
4733,Old School Italian Sandwich Shop,609,9th  Avenue,Homestead,PA,15120,Munhall,Restaurant without Liquor
4734,Old Time Coffee,105,Olivia St,Mc Kees Rocks,PA,15136,McKees Rocks,Refrigerated Warehouse
4735,Old Town Buffet,860,Saw Mill Run  Boulevard,Pittsburgh,PA,15226,Pittsburgh-118,Restaurant with Liquor
4736,Old Towne Laundry,824,James St,Pittsburgh,PA,15212,Pittsburgh-123,Packaged Food Only
4737,Old Village Grille,6277,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor
4738,Olive &amp; Marlowe,5975,Broad Street,Pittsburgh,PA,15206,Pittsburgh-111,Retail/Convenience Store
4739,Olive Oils Pizzeria ,4966,Library Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor
4740,Olive or Twist,140,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
4741,Olives &amp; Peppers,6052,Wm Flynn Highway,Bakerstown,PA,15007,Richland,Restaurant without Liquor
4742,Olivia&#39;s Banquet Facility / Foster&#39;s Pub,318,Forest Grove Road,Coraopolis,PA,15108,Kennedy,Restaurant with Liquor
4743,Olympia Banquet Hall,1575,Electric Ave,East Pittsburgh,PA,15112,Wilkins,Restaurant without Liquor
4744,Olympic Club,520,Alexander Street,Pittsburgh,PA,15220,Pittsburgh-120,Social Club-Bar Only
4745,Olympos Gyros,5950,Steubenville Pike,Pittsburgh,PA,15205,Robinson,Restaurant without Liquor
4746,Omaha Steaks,265,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only
4747,Omni William Penn Hotel  / Terrace Room &amp; Speakeasy ,530,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant with Liquor
4748,Omni William Penn Hotel / Banquet Kitchen / 17th F,530,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Banquet Hall
4749,Omni William Penn Hotel / Employee Cafe,530,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant without Liquor
4750,Omni William Penn Hotel / Main Kitchen,530,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant with Liquor
4751,Omni William Penn Hotel / Tap Room,530,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant with Liquor
4752,Omnimax Concession @ Carnegie Science Center,1,Allegheny  Avenue,Pittsburgh,PA,15212,Pittsburgh-121,Restaurant without Liquor
4753,On the Go Market,2873,W Liberty  Avenue,Pittsburgh,PA,15216,Dormont,Chain Retail/Convenience Store
4754,Onala Recovery Center,1625,W Carson St,Pittsburgh,PA,15219,Pittsburgh-119,Adult Food Service
4755,One Paw&#39;s Dogs Mobile,707,Warrington Avenue,Pittsburgh,PA,15210,Pittsburgh-118,Mobile
4756,One Stop,3601,Blvd of the Allies,Pittsburgh,PA,15213,Pittsburgh-104,Retail/Convenience Store
4757,One Stop Health &amp; Wellness Center,212,Grant Avenue,Duquesne,PA,15110,Duquesne,Restaurant without Liquor
4758,One Stop Mini Mart,751,Warrington Avenue,Pittsburgh,PA,15210,Pittsburgh-118,Packaged Food Only
4759,One Stop Mini Mart,2333,Beechwood Blvd,Pittsburgh,PA,15217,Pittsburgh-114,Chain Retail/Convenience Store
4760,One Thirty One East,131,Main Street,Carnegie,PA,15106,Carnegie,Restaurant with Liquor
4761,Onion Maiden,477,Melwood  Avenue,Pittsburgh,PA,15213,Pittsburgh-105,Transient Caterer
4762,Onyx Inn,1011,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor
4763,Opa Gyros,4208,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
4764,Open Flame Commissary,2392,Saranac Ave,Pittsburgh,PA,15216,Pittsburgh-119,Commissary
4765,Opening Night In The Strip/Edgar&#39;s Best Tacos,2627,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Caterer
4766,Optima #1386,107,Walmart Dr,North Versailles,PA,15137,North Versailles,Chain Retail/Convenience Store
4767,Options Food Court / Duquesne University Student Union 5th Floor,1000,Locust Street,Pittsburgh,PA,15282,Pittsburgh-101,Hospital Gov University (limited)
4768,Orbis Caffe,675,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
4769,Orchard Hill Church,2551,Brandt School Road,Wexford,PA,15090,Franklin Park,Church Kitchen
4770,Order Of Owls / Nest #1091,725,Little Deer Creek Valley Road,Russellton,PA,15076,West Deer,Restaurant with Liquor
4771,Order Of Owls Club /  Nest #1649,211,Elway St,Buena Vista,PA,15018,Elizabeth Township,Social Club-Bar Only
4772,Order Of Owls Nest #1538,524,7th Avenue,Homestead,PA,15120,West Homestead,Restaurant with Liquor
4773,Ordinary Joe&#39;s,225,Commercial  Avenue,Pittsburgh,PA,15215,Aspinwall,Restaurant with Liquor
4774,Oregon Hunting &amp; Fishing Club,833,Brackenridge Avenue,Brackenridge,PA,15014,Brackenridge,Social Club-Bar Only
4775,Orient Express,4609,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
4776,Orient Kitchen,4808,Baum Blvd,Pittsburgh,PA,15213,Pittsburgh-108,Restaurant with Liquor
4777,Oriental Express,2610,Brandt School Rd,Wexford,PA,15090,Franklin Park,Restaurant without Liquor
4778,Oriental Market,4768,McKnight  Road,Pittsburgh,PA,15237,Ross,Supermarket
4779,Original Joe&#39;s Pizza,540,St Clair Ave,Clairton,PA,15025,Clairton,Restaurant without Liquor
4780,Original Milano Pizza,6004,Centre  Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Chain Restaurant without Liquor
4781,Original Milano&#39;s Pizza,3606,5th  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
4782,Original Ray&#39;s,601,Longfellow  Drive,Homestead,PA,15120,Munhall,Restaurant without Liquor
4783,Orion Child Development Center,8801,Peebles Rd,Allison Park,PA,15101,McCandless,Child Food Service
4784,Ormsby Ave Cafe,402,Ormsby Avenue,Pittsburgh,PA,15210,Pittsburgh-116,Restaurant with Liquor
4785,Ormsby Recreation Center,79,22nd Street,Pittsburgh,PA,15203,Pittsburgh-116,Child Food Service
4786,Orpheus Singing Society,6301,Butler St,Pittsburgh,PA,15201,Pittsburgh-110,Social Club-Bar Only
4787,Osaka Sushi &amp; Chinese Restaurant,2101,Greentree Road,Pittsburgh,PA,15220,Scott,Restaurant with Liquor
4788,Our Diner,110,Allegheny Road,Imperial,PA,15126,North Fayette,Restaurant without Liquor
4789,Our Family&#39;s Favorite Sausage,2912,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Food Processor
4790,Our Family&#39;s Favorite Sausage ,222,3rd Ave,Carnegie,PA,15106,Carnegie,Food Processor
4791,Our Lady Of Grace School,1734,Bower Hill Road,Pittsburgh,PA,15243,Scott,School Full Service Kitchen
4792,Our Lady Of Victory Church,1000,Lindsay Road,Carnegie,PA,15106,Scott,Church Kitchen
4793,Our Lady Queen Of Peace,907,Middle Street,Pittsburgh,PA,15212,Pittsburgh-123,Church Kitchen
4794,Our Lady of Most Blessed Sacrament School Cafeteria,800,Montana Avenue,Natrona Heights,PA,15065,Harrison,School Full Service Kitchen
4795,Our Lady of the Sacred Heart High School Cafeteria,1504,Woodcrest Ave,Coraopolis,PA,15108,Moon,School Full Service Kitchen
4796,Our Little Secret,322,Curry Hollow Road,Pittsburgh,PA,15236,Pleasant Hills,Restaurant without Liquor
4797,Our Little Secret Mobile / Food,332,Curry Hollow Road,Pittsburgh,PA,15236,Pleasant Hills,Mobile
4798,Our Place Homemade,105,Middle  Avenue,Wilmerding,PA,15148,Wilmerding,Restaurant without Liquor
4799,Our Store-Riverview Apts,52,Garretta St,Pittsburgh,PA,15217,Pittsburgh-115,Adult Food Service
4800,Outback Steakhouse  #3950,25,McMurray Rd,Pittsburgh,PA,15241,Upper St Clair,Chain Restaurant with Liquor
4801,Outback Steakhouse  #3951,9395,McKnight  Road,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor
4802,Outback Steakhouse #3953,3000,Mosside Blvd,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor
4803,Outback Steakhouse #3954,1400,Market Place Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant with Liquor
4804,Outdoor Life Lodge Of Fawn,538,Woodrow Lane,Tarentum,PA,15084,Fawn,Social Club-Bar Only
4805,Over The Bar Bicycle Cafe,2518,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
4806,Overbrook Senior Center,2199,Dartmore St,Pittsburgh,PA,15210,Pittsburgh-132,Adult Food Service
4807,Overlook Lounge,1131,James St,Monroeville,PA,15146,Monroeville,Restaurant with Liquor
4808,Owl Club #1423,1140,Cochrans Mill  Road,Pittsburgh,PA,15236,South Park,Social Club-Bar Only
4809,Ozz Bar &amp; Grill,1882,Main Street,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor
4810,P &amp; M Soul Ice Cart #2,1507,Pennsylvania Avenue,West Mifflin,PA,15122,West Mifflin,Mobile
4811,P &amp; W Mini Mart,410,Scenery Dr,Elizabeth,PA,15037,Elizabeth Township,Chain Retail/Convenience Store
4812,P F Chang&#39;s,148,West Bridge St,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor
4813,P F Chang&#39;s China Bistro,1600,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor
4814,P J&#39;s Deli Catering,700,Bower Hill  Road,Bridgeville,PA,15017,Bridgeville,Caterer
4815,P Town,4740,Baum Blvd,Pittsburgh,PA,15213,Pittsburgh-108,Restaurant with Liquor
4816,P&#39;s Mobile,2204,Park Hill Drive,Pittsburgh,PA,15221,Pittsburgh-113,Mobile
4817,PGH Crepes Trailer (XGW 9046),3912,Coleman Street,Pittsburgh,PA,15207,Pittsburgh-115,Mobile
4818,PGH Crepes Truck (ZHT-7604),4901,Baum  Boulevard,Pittsburgh,PA,15213,Pittsburgh-108,Mobile
4819,PJ,3405,Walnut St,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor
4820,PJ&#39;s Smoke Shop,523,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Packaged Food Only
4821,PNC Bank / Parkhurst Dining,2730,Liberty Ave / Consumer Loan Ctr,Pittsburgh,PA,15222,Pittsburgh-106,Restaurant without Liquor
4822,PNC Bank 15th Fl Cafeteria,249,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor
4823,PNC C Store,620,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Retail/Convenience Store
4824,PNC Park  / 05.33.01 N Shore Refreshments #318,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4825,PNC Park  / 05.49.01 N Shore Refreshments #307,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4826,PNC Park  / Dippin&#39; Dots #1,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4827,PNC Park  / Dippin&#39; Dots #2,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4828,PNC Park  / Dippin&#39; Dots #4,115,Federal   Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4829,PNC Park  / Federal Street Grill #111-112,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4830,PNC Park  / Federal Street Grill &amp; IC Light Landing #136-137 ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4831,PNC Park  / North Shore Nacho Express #106,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4832,PNC Park  / North Shore Nacho Express #122,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4833,PNC Park  / North Shore Nacho Express #138,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4834,PNC Park  / North Shore Nacho Express #330,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4835,PNC Park / 00.34.01 In Seat Service ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4836,PNC Park / 01.08.02 N Shore Refreshments #135,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4837,PNC Park / 01.19.11 Bucaroos  ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor
4838,PNC Park / 01.32.03 Press Dining Kitchen ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4839,PNC Park / 01.402.10 The Lexus Club ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4840,PNC Park / 01.49.01 Levy Catering Commissary ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Commissary
4841,PNC Park / 01.57.01 N Shore Refreshments #146 &amp; 01.57.02 Portable #148,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4842,PNC Park / 01.59.01 Riverwalk Grill #144,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4843,PNC Park / 01.64.02 Manny&#39;s Bar-B-Q,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4844,PNC Park / 02.19.02 Pops&#39; Plaza #131-134,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4845,PNC Park / 02.23.01 NSRJust4U #128/02.218.01 Vend #129 - Port #130,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4846,PNC Park / 02.25.01 Federal Street Grill #127,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4847,PNC Park / 02.28.01 N Shore Refreshments #123,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4848,PNC Park / 02.30.01 Federal Street Grill #120,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4849,PNC Park / 02.33.01 Sweet Spot #119,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor
4850,PNC Park / 02.415.02 BRGR &amp; Bev Wall #115,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4851,PNC Park / 02.44.01-02 N Shore Refreshments #114 &amp;Vendor #113,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4852,PNC Park / 02.47.01 NSR #108 / Quaker Steak &amp; Lube #109,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4853,PNC Park / 02.47.01Primanti Brothers #110,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4854,PNC Park / 04.15.02 Bierbauer&#39;s Grill #213,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4855,PNC Park / 04.22.01 Pantry ,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Commissary
4856,PNC Park / 04.24.02 Keystone Corner Bar &amp; Pantry #228,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4857,PNC Park / 04.28.03 Bridges Burger #222 &amp; Beer Cooler 04.26.06,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4858,PNC Park / 04.47.01 BBQ Pitt #210,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4859,PNC Park / 04.48.01 Club 3000 &amp; Pantry #207-208,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4860,PNC Park / 04.53.01 All You Can Eat  #201-205,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4861,PNC Park / 05.19.01 Federal Street Grill #332,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4862,PNC Park / 05.25.01 N Shore Refresh #328 &amp; 05.24.01 Vendor #329,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4863,PNC Park / 05.28.01 Quaker Steak &amp; Lube #322,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4864,PNC Park / 05.415.01 Federal Street Grill #314,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4865,PNC Park / 05.46.01 Pop&#39;s Potato Patch #310,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4866,PNC Park / 05.52.01 N Shore Refresh #305 &amp; 05.53.01 Vendor #303,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4867,PNC Park / Beers of the Burgh #107,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4868,PNC Park / Club Cambria,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4869,PNC Park / Dippin&#39; Dots #3,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4870,PNC Park / Kettle Corn #126,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4871,PNC Park / Kettle Corn #141,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4872,PNC Park / Kitchen 01.50.01 &amp; Com 01.48.01 Cooler #2-3,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Commissary
4873,PNC Park / Loop &amp; Kernel,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor
4874,PNC Park / Menchies Yogurt #101-103,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4875,PNC Park / N Shore Refreshments #130,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4876,PNC Park / Papa Duke&#39;s Gyro #117,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Mobile
4877,PNC Park / Rivertowne Brewing Hall of Fame Club,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4878,PNC Park / Skull Bar #101,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
4879,PNC Park / Suite Kitchen  03.49.15 &amp; 03.52.10  High &amp; Low,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Caterer
4880,PNC Park / Terrace Bar,115,Federal  Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4881,PNC Park / The Corner Bar,115,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
4882,PNK Store,490,North  Avenue,Pittsburgh,PA,15212,Pittsburgh-122,Retail/Convenience Store
4883,PPG Cafeteria,4325,Rosanna Drive,Allison Park,PA,15101,Hampton,Restaurant without Liquor
4884,PPG Industries Glass Business &amp; Discovery Center,400,Guys Run Road,Pittsburgh,PA,15238,Harmar,Chain Restaurant without Liquor
4885,PPG PAINTS Arena /  Nakama Sushi Bar,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4886,PPG PAINTS Arena / Dairy Queen #105,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4887,PPG PAINTS Arena / Dairy Queen #201,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4888,PPG PAINTS Arena / Dunkin Donut C212,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4889,PPG PAINTS Arena / Dunkin Donuts C109,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4890,PPG PAINTS Arena Captain Morgan Bar #112,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4891,PPG PAINTS Arena Carvery #107C,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4892,PPG PAINTS Arena Center Bistro #113 &amp; #115,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4893,PPG PAINTS Arena Classics Rm#223,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4894,PPG PAINTS Arena Classics Room #116,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4895,PPG PAINTS Arena Classics Rooms #229 &amp; #230,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4896,PPG PAINTS Arena Commissary / Warehouse / Beer Pumps ,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Commissary
4897,PPG PAINTS Arena Concourse Bar #118,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4898,PPG PAINTS Arena Concourse Bars #106 B &amp; #108B,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Restaurant with Liquor
4899,PPG PAINTS Arena FF,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4900,PPG PAINTS Arena FK1,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4901,PPG PAINTS Arena First Niagara Bar #102,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4902,PPG PAINTS Arena First Niagra Bistro #103,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4903,PPG PAINTS Arena Hot Dog #H218,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4904,PPG PAINTS Arena Hot Dog #H225,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4905,PPG PAINTS Arena Ice Arena,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Ice Arena
4906,PPG PAINTS Arena Lexus Club,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4907,PPG PAINTS Arena Meat &amp; Poutines,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4908,PPG PAINTS Arena Nacho #N105,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4909,PPG PAINTS Arena Nacho #N118,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4910,PPG PAINTS Arena Nacho #N201,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4911,PPG PAINTS Arena Nacho #N216,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4912,PPG PAINTS Arena Pantry 1B/ Press Dining,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Commissary
4913,PPG PAINTS Arena Popcorn #P105,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4914,PPG PAINTS Arena Popcorn #P202,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4915,PPG PAINTS Arena RM 119120121 BP3B,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4916,PPG PAINTS Arena Rm#211 #212,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4917,PPG PAINTS Arena Rm#231 #232 Nakama,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4918,PPG PAINTS Arena Seat #107 #108 #109,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4919,PPG PAINTS Arena Smokehouse / Burgatory Bar,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4920,PPG PAINTS Arena Smokehouse Express,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4921,PPG PAINTS Arena Suite #66,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4922,PPG PAINTS Arena Suite Kitchen Rm #P4D,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4923,PPG PAINTS Arena Suite Pantry #P4A #P4B,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4924,PPG PAINTS Arena Taco #101,1001,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant with Liquor
4925,PPG Paints Arena  / Ritas Italian Ice,1001,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4926,PPG Paints Arena / Dunkin Donuts #118,1001,5th Ave,Pittsburgh,PA,15219,Pittsburgh-103,Mobile
4927,PPG Springdale R &amp; D Cafe,151,Colfax Street,Springdale,PA,15144,Springdale Borough,Restaurant without Liquor
4928,PPG Tech Center,440,College  Park  Drive,Monroeville,PA,15146,Monroeville,Restaurant without Liquor
4929,PR School For The Deaf,40,Vancouver Avenue,Pittsburgh,PA,15205,Ingram,School Satellite Kitchen
4930,PaPa Wood BBQ Mobile,101,Grandvue  Drive,Beaver,PA,15009,Out Of County,Mobile
4931,Pace School,2432,Greensburg Pike,Pittsburgh,PA,15221,Churchill,School Full Service Kitchen
4932,Pacific Sanctuary / Earthen Vessels Outreach,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Community Service Facility/Exempt
4933,Packs &amp; Dogs,223,Shiloh St,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor
